"7/4","-3/4","-3/4","-1/4","-7/8","7/8","-1/8","1/8","-7/8","7/8","-1/8","1/8"
"-3/4","7/4","-1/4","-3/4","7/8","-7/8","1/8","-1/8","-1/8","1/8","-7/8","7/8"
"-3/4","-1/4","7/4","-3/4","-1/8","1/8","-7/8","7/8","7/8","-7/8","1/8","-1/8"
"-1/4","-3/4","-3/4","7/4","1/8","-1/8","7/8","-7/8","1/8","-1/8","7/8","-7/8"
"-7/8","7/8","-1/8","1/8","7/4","-3/4","-3/4","-1/4","-7/8","-1/8","7/8","1/8"
"7/8","-7/8","1/8","-1/8","-3/4","7/4","-1/4","-3/4","-1/8","-7/8","1/8","7/8"
"-1/8","1/8","-7/8","7/8","-3/4","-1/4","7/4","-3/4","7/8","1/8","-7/8","-1/8"
"1/8","-1/8","7/8","-7/8","-1/4","-3/4","-3/4","7/4","1/8","7/8","-1/8","-7/8"
"-7/8","-1/8","7/8","1/8","-7/8","-1/8","7/8","1/8","7/4","-3/4","-3/4","-1/4"
"7/8","1/8","-7/8","-1/8","-1/8","-7/8","1/8","7/8","-3/4","7/4","-1/4","-3/4"
"-1/8","-7/8","1/8","7/8","7/8","1/8","-7/8","-1/8","-3/4","-1/4","7/4","-3/4"
"1/8","7/8","-1/8","-7/8","1/8","7/8","-1/8","-7/8","-1/4","-3/4","-3/4","7/4"
